time,travel time,sample count
2019-02-23 15:00:00,3.7,30
2019-03-04 13:00:00,3.66,48
2019-03-09 16:00:00,1.32,16
2019-02-12 02:00:00,2.23,59
2019-02-26 20:00:00,2.23,54
2019-02-28 22:00:00,2.21,17
2019-03-03 23:00:00,2.13,28
2019-02-12 16:00:00,3.21,45
2019-02-25 03:00:00,2.1,29
2019-03-09 18:00:00,2.07,20
2019-03-03 13:00:00,3.66,55
2019-03-07 08:00:00,6.11,30
2019-02-13 16:00:00,2.55,56
2019-03-08 23:00:00,1.1,28
2019-02-15 20:00:00,2.34,48
2019-02-24 01:00:00,2.18,60
2019-02-28 06:00:00,2.74,60
2019-02-11 14:00:00,2.69,59
2019-02-15 23:00:00,2.24,24
2019-02-27 19:00:00,2.25,60
2019-02-19 12:00:00,3.0,52
2019-02-10 03:00:00,2.21,59
2019-02-17 09:00:00,2.15,51
2019-02-12 15:00:00,2.66,34
2019-02-26 00:00:00,2.24,60
2019-02-11 03:00:00,2.18,61
2019-03-06 10:00:00,4.08,60
2019-03-04 03:00:00,2.12,60
2019-02-15 00:00:00,2.19,57
2019-03-06 13:00:00,3.98,37
2019-02-26 16:00:00,2.5,60
2019-02-16 03:00:00,2.18,33
2019-03-04 19:00:00,2.22,17
2019-02-25 09:00:00,2.38,60
2019-03-01 04:00:00,2.11,60
2019-02-22 09:00:00,3.9,30
2019-02-16 09:00:00,2.25,53
2019-02-25 07:00:00,3.03,60
2019-02-18 14:00:00,2.54,52
2019-03-08 17:00:00,1.8,2
2019-02-28 14:00:00,4.35,56
2019-03-05 07:00:00,3.9,20
2019-03-03 02:00:00,2.16,60
2019-02-20 18:00:00,2.62,26
2019-02-20 02:00:00,2.18,31
2019-02-13 08:00:00,5.94,56
2019-02-28 10:00:00,4.68,60
2019-02-13 04:00:00,2.08,54
2019-02-21 17:00:00,4.87,30
2019-02-15 09:00:00,3.03,56
2019-03-08 21:00:00,0.99,25
2019-03-05 12:00:00,3.22,60
2019-03-09 21:00:00,0.97,1
2019-03-01 07:00:00,4.8,60
2019-03-02 06:00:00,2.1,60
2019-03-07 16:00:00,7.3,3
2019-02-27 00:00:00,2.94,60
2019-02-15 04:00:00,2.1,50
2019-03-05 10:00:00,2.4,36
2019-02-12 19:00:00,2.3,50
2019-02-17 17:00:00,2.29,31
2019-02-17 20:00:00,2.18,28
2019-03-03 09:00:00,2.19,60
2019-02-23 17:00:00,3.63,30
2019-02-15 03:00:00,2.15,39
2019-03-04 22:00:00,2.16,24
2019-03-07 05:00:00,2.24,30
2019-02-12 01:00:00,2.24,61
