time,travel time,sample count
2019-03-08 14:00:00,4.18,360
2019-03-07 10:00:00,4.15,360
2019-02-19 11:00:00,4.14,358
2019-02-10 19:00:00,3.97,360
2019-03-06 23:00:00,3.96,355
2019-02-28 19:00:00,4.01,360
2019-02-14 22:00:00,3.96,360
2019-03-03 22:00:00,3.96,357
2019-03-01 11:00:00,4.5,360
2019-03-08 07:00:00,4.18,360
2019-03-07 18:00:00,4.09,360
2019-02-18 04:00:00,3.96,352
2019-02-24 03:00:00,3.48,282
2019-03-01 23:00:00,3.96,355
2019-02-22 10:00:00,4.11,360
2019-03-06 18:00:00,4.07,360
2019-03-01 01:00:00,3.8,321
2019-03-06 19:00:00,4.01,360
2019-03-02 18:00:00,4.03,360
2019-02-12 09:00:00,4.38,360
2019-03-01 08:00:00,4.16,360
2019-02-22 14:00:00,4.13,360
2019-02-14 18:00:00,4.13,360
2019-02-26 23:00:00,3.8,352
2019-02-17 03:00:00,3.58,303
2019-03-02 00:00:00,3.85,355
2019-02-22 23:00:00,3.96,357
2019-02-16 11:00:00,4.04,360
2019-02-25 12:00:00,4.12,360
2019-02-23 23:00:00,3.96,266
2019-02-20 00:00:00,3.86,344
2019-02-14 11:00:00,4.51,360
2019-02-23 21:00:00,3.98,360
2019-03-03 18:00:00,4.0,360
2019-03-04 04:00:00,3.96,342
2019-02-16 02:00:00,3.91,332
2019-02-23 06:00:00,3.97,357
2019-02-21 22:00:00,3.96,360
2019-02-23 12:00:00,4.1,355
2019-02-10 18:00:00,3.97,360
2019-02-19 02:00:00,3.64,323
2019-02-26 11:00:00,4.18,360
2019-02-14 12:00:00,4.23,360
2019-02-23 04:00:00,3.91,355
2019-02-10 20:00:00,3.97,355
2019-03-01 13:00:00,4.11,360
2019-02-12 00:00:00,3.99,330
2019-02-20 23:00:00,3.91,345
2019-02-24 00:00:00,3.96,30
2019-02-28 17:00:00,4.18,360
2019-02-14 23:00:00,3.97,357
2019-02-23 03:00:00,3.64,327
2019-02-25 08:00:00,4.13,356
2019-02-19 04:00:00,3.97,357
2019-02-21 12:00:00,4.15,360
2019-02-20 13:00:00,4.26,360
2019-03-09 06:00:00,3.96,360
2019-02-25 21:00:00,3.97,355
2019-02-28 13:00:00,4.14,360
2019-02-10 01:00:00,3.96,295
2019-03-06 15:00:00,4.2,360
2019-03-02 02:00:00,3.69,334
2019-03-08 18:00:00,4.12,360
2019-02-12 14:00:00,4.26,360
2019-02-26 12:00:00,4.12,360
2019-03-09 14:00:00,4.03,360
2019-02-13 13:00:00,4.14,360
2019-03-05 08:00:00,4.15,360
2019-03-02 07:00:00,3.97,360
2019-03-01 14:00:00,4.1,360
2019-02-23 07:00:00,3.96,360
2019-02-16 06:00:00,3.96,360
2019-02-27 23:00:00,3.91,352
2019-02-24 23:00:00,3.85,355
2019-02-24 15:00:00,3.99,360
2019-03-09 12:00:00,4.02,360
2019-02-28 20:00:00,3.98,360
2019-02-27 08:00:00,4.11,360
2019-02-13 20:00:00,3.99,360
2019-02-17 12:00:00,4.01,360
2019-03-02 19:00:00,3.99,358
2019-02-13 11:00:00,4.16,360
2019-02-28 04:00:00,3.96,357
2019-02-15 19:00:00,4.04,360
2019-02-13 21:00:00,3.96,360
2019-03-04 16:00:00,4.14,358
2019-02-22 02:00:00,3.75,311
2019-02-25 16:00:00,4.08,360
2019-02-28 02:00:00,3.75,310
2019-02-15 05:00:00,3.99,360
2019-02-22 17:00:00,4.21,360
2019-02-21 16:00:00,4.16,360
2019-02-27 07:00:00,4.11,360
2019-02-24 18:00:00,3.98,360
2019-02-18 22:00:00,3.96,360
2019-02-12 08:00:00,4.46,360
2019-02-22 18:00:00,4.38,360
2019-02-27 09:00:00,4.12,360
2019-03-03 04:00:00,3.85,319
2019-03-08 09:00:00,4.15,360
2019-02-15 06:00:00,4.05,360
