stationid,highwayid,milepost,locationtext,length,numberlanes,agencyid,x_coord,y_coord,active_dates
1060,8,3.43,58th (2R081) to WB I-84,0.445,,209,-122.60529,45.52729,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
1100,4,12.67,OR 212/224 (2R038) to SB I-205,1.165,,238,-122.57264,45.40513,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
3141,7,11.47,148th (2DS022) @ EB I-84 MP11.47,1.06,,287,-122.50928,45.54242,"{""bounds"": ""[)"", ""lower"": ""2015-02-23"", ""upper"": null}"
1118,10,0.08,Barnes (2R349) to SB OR 217,0.165,,11,-122.77819,45.50941,"{""bounds"": ""[)"", ""lower"": ""2012-03-01"", ""upper"": null}"
1041,3,9.45,99E (2R042) to NB I-205,0.585,,386,-122.60086,45.36375,"{""bounds"": ""[)"", ""lower"": ""2015-03-10"", ""upper"": null}"
1062,8,2.1,33rd (2R077) to WB I-84,0.29,,207,-122.63083,45.5345,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
1051,4,20.34,Washington (2R030) to SB I-205,0.6,,466,-122.56593,45.51717,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1079,10,1.92,B-H Hwy (2R345) to SB OR 217,0.525,,14,-122.79355,45.48543,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
3158,12,61.05,Helvetia (2DS057) @ WB US26 MP61.05,1.215,,260,-122.9264,45.56464,"{""bounds"": ""[)"", ""lower"": ""2015-06-03"", ""upper"": null}"
3175,8,1.82,28th (2DS015) @ WB I-84 MP1.82,0.445,,296,-122.63511,45.53036,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
3185,2,300.8,Madison (2DS071) @ SB I-5 MP300.8,0.91,,45,-122.66793,45.51348,"{""bounds"": ""[)"", ""lower"": ""2014-06-06"", ""upper"": null}"
1115,4,6.25,10th (2R379) to SB I-205,0.4,,233,-122.65356,45.34837,"{""bounds"": ""[)"", ""lower"": ""2019-03-19"", ""upper"": null}"
3177,10,3.4,Hall (2DS064) @ SB OR 217 MP3.4,0.19,,54,-122.78636,45.46386,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
3131,7,4.25,Halsey ramp (2DS017) @ EB I-84 MP4.25,0.67,,281,-122.59443,45.53367,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
3171,1,303.47,NB I-5 (2DS011) @ I-405 MP303.47,0.39,,254,-122.67889,45.54731,"{""bounds"": ""[)"", ""lower"": ""2016-11-16"", ""upper"": null}"
232,3,24.92,EB Airport Way (2R057) to NB I-205,0.39,,232,-122.54769,45.5721,"{""bounds"": ""[)"", ""lower"": ""2019-10-14"", ""upper"": null}"
1026,2,307.9,Jantzen Beach (2R009) to SB I-5,0.775,,188,-122.6786,45.61181,"{""bounds"": ""[)"", ""lower"": ""2015-06-17"", ""upper"": null}"
1057,7,2.6,Cesar Chavez (2R078) to EB I-84,0.41,,205,-122.62228,45.53284,"{""bounds"": ""[)"", ""lower"": ""2018-07-26"", ""upper"": null}"
3132,8,4.25,Halsey ramp (2DS017) @ WB I-84 MP4.25,0.735,,299,-122.59443,45.53367,"{""bounds"": ""[)"", ""lower"": ""2014-11-18"", ""upper"": null}"
3102,3,5.39,Blankenship (2DS002) @ NB I-205 MP5.39,1.65,,263,-122.66582,45.35738,"{""bounds"": ""[)"", ""lower"": ""2018-07-02"", ""upper"": null}"
3155,9,1.5,Canyon (2DS062) @ NB OR 217 MP1.5,0.41,,52,-122.79244,45.49098,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
1077,10,3.12,Denney (2R343) to SB OR 217,0.425,,16,-122.7864,45.46815,"{""bounds"": ""[)"", ""lower"": ""2014-04-29"", ""upper"": null}"
