time,95% travel time (26 weeks),80% travel time (26 weeks),20% travel time (26 weeks),5% travel time (26 weeks),avg travel time (26 weeks),all four weeks (avg sample count)
Tue 21,3.37,3.34,3.31,3.31,3.33,360.0
Mon 05,3.54,3.44,3.31,3.31,3.39,360.0
Wed 12,3.71,3.62,3.51,3.45,3.57,360.0
Sun 16,3.46,3.41,3.35,3.33,3.39,360.0
Thu 11,3.8,3.65,3.5,3.41,3.6,360.0
Mon 00,3.31,3.31,3.31,3.31,3.31,345.75
Fri 08,3.69,3.61,3.47,3.4,3.54,360.0
Sat 18,3.56,3.42,3.34,3.33,3.39,360.0
Fri 12,3.75,3.67,3.52,3.46,3.6,360.0
Thu 04,3.41,3.34,3.31,3.31,3.31,351.75
Fri 01,3.31,3.31,3.31,3.31,3.31,342.0
Wed 01,3.31,3.31,3.31,3.31,3.33,333.0
Wed 11,3.7,3.62,3.49,3.45,3.56,359.0
Sun 08,3.4,3.35,3.31,3.31,3.33,359.25
Mon 23,3.35,3.31,3.31,3.31,3.32,358.5
Sat 19,3.53,3.39,3.32,3.31,3.37,355.5
Sun 00,3.31,3.31,3.31,3.31,3.31,356.25
Tue 08,4.23,3.64,3.48,3.31,3.72,360.0
Fri 15,4.39,3.79,3.57,3.51,3.74,360.0
Wed 18,3.61,3.51,3.37,3.34,3.42,360.0
Mon 16,4.6,3.96,3.52,3.43,3.87,359.5
Wed 15,4.18,3.78,3.54,3.47,3.7,360.0
Sun 03,3.31,3.31,3.31,3.31,3.29,304.0
Tue 11,3.69,3.62,3.48,3.33,3.55,359.5
Fri 23,3.36,3.33,3.31,3.31,3.32,360.0
Sun 11,3.47,3.43,3.35,3.33,3.41,354.5
Sun 20,3.37,3.34,3.31,3.31,3.33,358.5
Sun 14,3.47,3.42,3.35,3.33,3.39,359.5
